,Team,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
109,NRG Esports,Ethan,Xtrfy M4 Wireless,1000,400,0.73,292,0.914,BenQ XL2540,240,RTX 2080 Ti,1920x1080,Razer Gigantus,Razer BlackWidow Lite,HyperX Cloud II
110,NRG Esports,tex,Logitech G Pro X Superlight Black,1000,800,0.38,304,,ASUS VG248QE,144,,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
111,Acend,starxo,Logitech G Pro X Superlight,1000,800,0.485,388,1,ASUS ROG Strix XG248Q,240,RTX 2070 Super,1280x1024,Xtrfy GP4,Logitech G Pro Mechanical Keyboard,HyperX Cloud II
112,Acend,L1NK,Zowie EC2-B Divina Edition,1000,800,0.3,196,1,BenQ XL2546,240,RTX 3080,1280x960,VAXEE PB,Ducky One 2 TKL White,HyperX Cloud II
113,Acend (B),Zeek,Logitech G Pro X Superlight,1000,800,0.45,360,1,BenQ XL2540,240,RTX 2060,1280x960,Artisan Zero,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
114,Acend,cNed,Zowie ZA12,1000,800,0.32,256,1,BenQ XL2546K,240,RTX 3080,1920x1080,SteelSeries QcK Heavy,Xtrfy K4-RGB TKL,HyperX Cloud II
115,Acend,MONSTEERR,Logitech G Pro Wireless,1000,800,0.4,320,1,AOC G2460PF,144,,1920x1080,Logitech G640,Logitech G Pro Mechanical Keyboard,Logitech G Pro X Headset
116,Cloud9 Blue (C),Autumn,Logitech G Pro X Superlight Black,1000,800,0.32,256,1,Alienware AW2521HF,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
117,Cloud9 Blue,Xeppaa,Zowie EC2-C,1000,800,0.35,280,1,BenQ XL2546K,240,RTX 3080,1280x960,SteelSeries QcK Heavy,HyperX Alloy Origins Core,HyperX Cloud II
118,Cloud9 Blue,mitch,Zowie EC2-B Divina Edition,1000,800,0.28,224,1,BenQ XL2540,240,RTX 2080 Super,1920x1080,HyperX FURY S Pro,Ducky One 2 Mini RGB,HyperX Cloud Alpha
119,Cloud9 Blue,curry,Logitech G Pro X Superlight,1000,800,0.375,300,1,BenQ XL2540,240,RTX 2080 Super,1280x960,Artisan FX Zero XSoft,Ducky One 2 TKL RGB,Logitech G Pro X Wireless Headset
120,Cloud9 Blue,vanity,Logitech G Pro X Superlight Black,1000,1600,0.141,225,1.1,BenQ XL2546,240,RTX 2070,1920x1080,Logitech G640,HyperX Alloy FPS,HyperX Cloud II
121,Cloud9 Blue,leaf,Logitech G Pro X Superlight White,1000,800,0.23,183,1,BenQ XL2546,240,RTX 3080,1280x960,Logitech G640,HyperX Alloy Origins Core,Sennheiser GAME ZERO
122,100T (M),Nadeshot,Logitech G Pro X Superlight Black,1000,800,0.2,160,1,BenQ XL2540,240,,1920x1080,SteelSeries QcK+,HiGround Sandstone,JBL Quantum ONE
123,100T (C),seangares,HyperX Pulsefire Haste,1000,800,0.315,252,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud Alpha
124,100T,derrek,Logitech G Pro X Superlight,1000,800,0.375,300,1,Acer XF250Q,240,GTX 1080 Ti,1920x1080,Zowie G-SR-SE Rouge,SteelSeries Apex 7 Ghost Edition,HyperX Cloud II
125,100T,Will,Logitech G Pro X Superlight,1000,800,0.4,320,1,BenQ XL2546K,240,RTX 3080,1920x1080,Artisan Zero,Ducky One 2 TKL White,EPOS H6PRO White
126,100T,Asuna,Razer DeathAdder V2,1000,1400,0.272,380,0.9,BenQ XL2546K,240,RTX 3090,1920x1080,Artisan FX Zero Soft,Corsair K-70 RGB,HyperX Cloud II
127,100T,stellar,Logitech G Pro Wireless,1000,800,0.32,256,1,BenQ XL2546,240,RTX 3070,1600x900,Zowie G-SR,Ducky One 3 TKL Matcha,HyperX Cloud II
128,100T (L),bang,Logitech G Pro X Superlight,1000,800,0.32,256,1,ASUS VG248QE,144,,1920x1080,Logitech G640,Logitech G Pro Mechanical Keyboard,Logitech G Pro X
129,On Sla2ers,TS,Logitech G703,1000,400,0.583,233,1,ASUS ROG XG258Q,240,,1920x1080,PULSAR ParaBreak XL,Logitech G913 TKL,Logitech G Pro X Headset
130,On Sla2ers,GodDead,Logitech G Pro X Superlight,1000,400,0.691,276,1,BenQ XL2546S,240,RTX 2080 Ti,1920x1080,SteelSeries QcK+,Varmilo VA87M Sakura Pink,HyperX Cloud Revolver S
131,On Sla2ers,Bazzi,Zowie EC2-B,1000,1600,0.17,272,0.75,Alienware AW2518H,240,RTX 2080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,
132,On Sla2ers (C),Peri,Glorious Model D,1000,400,0.525,210,0.8,BenQ XL2540,240,RTX 2080 Super,1920x1080,Razer Goliathus Control,Deck Francium Lite,
133,M3C,Redgar,Logitech G Pro X Superlight,1000,800,0.7,560,1,BenQ XL2546K,240,RTX 3080,1920x1080,Zowie G-SR-SE Deep Blue,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
134,M3C,Chronicle,Logitech G Pro X Superlight,1000,400,1.25,500,0.777,ASUS TUF VG279QM,240,,1920x1080,Zowie G-SR-SE,Anne Pro 2,Logitech G Pro X Wireless Headset
135,M3C,Sheydos,Logitech G Pro X Superlight White,1000,400,0.81,324,1.1,BenQ XL2546K,240,RTX 2080 Super,1280*960,VAXEE PA,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
136,Sentinels,TenZ,FinalMouse Starlight Pro(Small & Medium),1000,1600,0.22,352,1,BenQ XL2546,360,RTX 3090,1920x1080,XTEN Control,Xtrfy K4 TKL,Xtrfy H2
137,Sentinels,ShahZaM,Logitech G703,1000,400,0.53,212,1,BenQ XL2546,240,RTX 3090,1920x1080,Artisan Zero,KBD8X MKII Custom,HyperX Cloud II
138,Sentinels (B),SicK,Logitech G900,1000,800,0.235,188,1,BenQ XL2546,240,RTX 3080,1920x1080,Logitech G640,HyperX Alloy FPS Pro,HyperX Cloud II
139,Sentinels (B),zombs,Logitech G Pro X Superlight,1000,400,0.54,216,1,BenQ XL2540,240,RTX 3080,1280x960,Logitech G640,Ducky One 2 Mini RGB,Sennheiser G4ME ONE
140,Sentinels,dapr,Logitech G Pro X Superlight Black,1000,400,0.66,264,1,BenQ XL2546,240,RTX 3080,1920x1080,Zowie G-SR-SE,Corsair K70 TKL,HyperX Cloud II
141,Sentinels (B),Kanpeki,Razer Viper V2 Pro,1000,800,0.32,256,1,BenQ XL2546 Divina Pink Edition,240,GTX 1080 Ti,1920x1080,Artisan FX Zero Soft,Custom Keyboard,HyperX Cloud II
